CANDIDATOS A LA GOBERNACION DE LA PAZ
id	candidato	cargo	unidad_territorial	nombre	departamento	partido
1	AUGUSTO SATURNINO OBLITAS GARCIA	Gobernador	Departamento	Departamento de La Paz	La Paz	ALIANZA SOCIAL PATRIOTICA
2	CLEMENTE GUTIERREZ MAMANI	Gobernador	Departamento	Departamento de La Paz	La Paz	MOVIMIENTO POR LA SOBERANIA
3	DEMETRIO VILLCA ORDOÑEZ	Gobernador	Departamento	Departamento de La Paz	La Paz	ALIANZA UNIDOS POR LOS PUEBLOS
4	FELIX PATZI PACO	Gobernador	Departamento	Departamento de La Paz	La Paz	MOVIMIENTO TERCER SISTEMA
5	FIDEL CHURA CHAVEZ	Gobernador	Departamento	Departamento de La Paz	La Paz	FRENTE REVOLUCIONARIO DE IZQUIERDA
6	GERMAN ANTONIO RIVEROS PILCO	Gobernador	Departamento	Departamento de La Paz	La Paz	INNOVACION HUMANA
7	INGVAR ELLEFSEN DOTZAUER	Gobernador	Departamento	Departamento de La Paz	La Paz	SOMOS LA PAZ
8	LEOPOLDO RICHARD CHUI TORREZ	Gobernador	Departamento	Departamento de La Paz	La Paz	JUNTOS AL LLAMADO DE LOS PUEBLOS
9	LUIS ANTONIO REVILLA HERRERO	Gobernador	Departamento	Departamento de La Paz	La Paz	ALIANZA PATRIA SOL
10	ORLANDO CALLISAYA COPANA	Gobernador	Departamento	Departamento de La Paz	La Paz	PARTIDO DEMOCRATA CRISTIANO
11	RENE YAHUASI CALAMANI	Gobernador	Departamento	Departamento de La Paz	La Paz	NUEVA GENERACIÓN PATRIÓTICA
12	RICHARD ANDRES GOMEZ VELA	Gobernador	Departamento	Departamento de La Paz	La Paz	VENCEREMOS
13	SANTOS QUISPE QUISPE	Gobernador	Departamento	Departamento de La Paz	La Paz	UNION POR EL CAMBIO

CANDIDATOS A LA ALCALDIA DE LA PAZ
1	CARLOS EDUARDO PALENQUE MONROY	Alcalde	Municipio	Nuestra Señora de La Paz	La Paz	LIBERTAD Y REPÚBLICA
2	CARLOS NEMO RIVERO AUZA	Alcalde	Municipio	Nuestra Señora de La Paz	La Paz	ALIANZA PATRIA LA PAZ
3	CESAR LUIS DOCKWEILER SUAREZ	Alcalde	Municipio	Nuestra Señora de La Paz	La Paz	INNOVACION HUMANA
4	FERNANDO HENRRY VALENCIA AGUILERA	Alcalde	Municipio	Nuestra Señora de La Paz	La Paz	VAMOS INTEGRANDO EL DESARROLLO AUTONOMICO
5	FRANCISCO XAVIER ITURRALDE TORRICO	Alcalde	Municipio	Nuestra Señora de La Paz	La Paz	ALIANZA SOCIAL PATRIOTICA
6	HERNAN IVAN ARIAS DURAN	Alcalde	Municipio	Nuestra Señora de La Paz	La Paz	SUMA POR EL BIEN COMÚN
