candidato;cargo;departamento;Plan de Gobierno ;;;;;;;;;
CARLOS ALFREDO ZAVALETA PANIAGUA;Alcalde;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PLAN-DE-GOBIERNO-ALIANZA-UNIDOS-POR-LOS-PUEBLOS.pdf;;;;;;;;;
FRANCISCO JAVIER BELLOTT MONTALVO;Alcalde;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMA-DE-GOBIERNO-SOLUCIONES-CON-TODOS.pdf;;;;;;;;;
JOSE CARLOS SANCHEZ VERAZAIN;Alcalde;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMA-DE-GOBIERNO-NGP.pdf;;;;;;;;;
MANFRED ARMANDO ANTONIO REYES VILLA BACIGALUPI;Alcalde;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMA-DE-GOBIERNO-SUMATE.pdf;;;;;;;;;
RAMON OSCAR DAZA SALAMANCA;Alcalde;Cochabamba;http://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMAS-DE-GOBIERNO-ALIANZA-PATRIA.pdf;;;;;;;;;
ROCIO ALEJANDRA MOLINA TRAVESI;Alcalde;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMA-DE-GOBIERNO-UNIDOS.pdf;;;;;;;;;
RONALD ANTONIO UNZUETA QUIROGA;Alcalde;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMA-MOVIMIENTO-TERCER-SISTEMA.pdf;;;;;;;;;
ALEJANDRO MOSTAJO RUEDA;Gobernador;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMA-MOVIMIENTO-TERCER-SISTEMA.pdf;;;;;;;;;
ESTHER SORIA GONZALES;Gobernador;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMA-DE-GOBIERNO-UNIDOS.pdf;;;;;;;;;
JHON ARIEL RIOJA GUZMAN;Gobernador;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMA-DE-GOBIERNO-NGP.pdf;;;;;;;;;
JUAN ROBERTH FLORES ENCINAS;Gobernador;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMAS-DE-GOBIERNO-LIBRE.pdf;;;;;;;;;
MARIO ENRIQUE SEVERICH BUSTAMANTE;Gobernador;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMA-DE-GOBIERNO-SOLUCIONES-CON-TODOS.pdf;;;;;;;;;
RUTH ALINA PERALTA CALVIMONTES;Gobernador;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2026/01/PROGRAMA-DE-GOBIERNO-FRI.pdf;;;;;;;;;
SERGIO OLIVER RODRIGUEZ MERCADO;Gobernador;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMA-DE-GOBIERNO-SUMATE.pdf;;;;;;;;;
WILFREDO ROLANDO MORALES ZEBALLOS;Gobernador;Cochabamba;https://cochabamba.oep.org.bo/wp-content/uploads/2025/12/PROGRAMAS-DE-GOBIERNO-ALIANZA-PATRIA.pdf;;;;;;;;;
AUGUSTO SATURNINO OBLITAS GARCIA;Gobernador;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/ALIANZA-PATRIA-SOL-DEPARTAMENTO-DE-LA-PAZ.pdf;;;;;;;;;
CLEMENTE GUTIERREZ MAMANI;Gobernador;La Paz;No se encontro;;;;;;;;;
DEMETRIO VILLCA ORDOÑEZ;Gobernador;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/ALIANZA-UNIDOS-POR-LOS-PUEBLOS-DEPARTAMENTO-DE-LA-PAZ-2.pdf;;;;;;;;;
FELIX PATZI PACO;Gobernador;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/MNR.pdf;;;;;;;;;
FIDEL CHURA CHAVEZ;Gobernador;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/programa-de-Gobierno-Departamental-la-paz-fri.pdf;;;;;;;;;
GERMAN ANTONIO RIVEROS PILCO;Gobernador;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/INNOVACION-HUMANA-DEPARTAMENTO-DE-LA-PAZ.pdf;;;;;;;;;
INGVAR ELLEFSEN DOTZAUER;Gobernador;La Paz;No encontrado, Plan de gobierno a nivel departamental ;;;;;;;;;
LEOPOLDO RICHARD CHUI TORREZ;Gobernador;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/JALLALA.pdf;;;;;;;;;
LUIS ANTONIO REVILLA HERRERO;Gobernador;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/ALIANZA-PATRIA-SOL-DEPARTAMENTO-DE-LA-PAZ.pdf;;;;;;;;;
