ALIANZA/PARTIDO POLÍTICO ;PRESIDENTE ;LUGAR DE NAC.;FECHA;EDAD;PROFESIÓN ;CARGOS PÚBLICOS ;POSTULACIONES;MILITANCIA PASADA;RELIGIÓN 
LIBRE LIBERTAD Y DEMOCRACIA;Jorge Fernando Quiroga Ramírez;Cochabamba;5/5/1960;65;Ingeniero ind. ;1989 Subsecretario de Inversión Pública y Cooperación Internacional (Min. de Planeamiento).                         1990 Subsecretario de Inversión Pública                                       1992 Ministro de Finanzas      2001-2002 Presidencia de la Rep. ;4ta candidatura: Presidencia                  1 candidatura: Vicepresidencia      1997: ADN Vicepresidencia (Electo) 2005: PODEMOS Presidencia (No electo)                                                 2014: PDC Presidencia (No electo) 2020: Libre21 Presidencia (Retirado antes de a elección)                            2025: LIBRE (actual elección);ADN;
ALIANZA POPULAR;Andrónico Rodríguez Ledezma;Sacaba Cochabamba ;11/11/1988;36;Polítologo;2020-2025 Senador ;1era candidatura: Presidencia                 1 candidatura: Senador (MAS)         2020: MAS Senador (Electo)         2025: Alianza Popular (actual elección);MAS-IPSP;
ALIANZA UNIDAD;Samuel Jorge Doria Medina Auza;La Paz ;4/12/1958;66;Economista;1992 Ministro de Planeamiento y Coordinación                          *2006-2009 Asambleista Constituyente;4ta candidatura: Presidencia                  2 candidaturas: Vicepresidencia      1 candidatura: Asambleista Constituyente                             1997: MIR Vicepresidencia (No electo)                                          2005: UN Presidencia (No electo)     2006: UN Asambleista Constituyente (Electo)                2009: UN Presidencia (No electo)                                       2014: UD Presidencia (No electo)    2020: Juntos Vicepresidencia (Retirado antes de a elección)                            2025: UNIDAD (actual elección);MIR, Unidad Nacional;
ALIANZA LIBERTAD Y PROGRESO ADN ;Pavel Antonio Aracena Vargas;Challapata Oruro;;55;Ingeniero civil;Ninguno;Ninguno;No declarado;
ALIANZA LA FUERZA DEL PUEBLO ;Max Jhonny Fernández Saucedo ;Santa Cruz de la Sierra;21/3/1964;61;electronica ;1989-1990 Concejal Sta. Cruz           1995-1999 Alcalde Municipal Santa Cruz                                           2000-2002 Alcalde Municipal Sta. Cruz                                             2015-2021 Concejal Sta. Cruz     2021-2025 Alcalde Municipal Sta. Cruz  ;2da candidatura: Presidencia                  3 candidaturas: Alcaldia                     2 candidaturas: Concejalia            1989: UCS Concejal (Electo)                    1995: UCS Alcaldia (Electo)                 1999: UCS Alcaldia (Electo)               2002: UCS Presidencia (No electo)                   2015: UCS Concejal (Electo)                                       2021: UCS Alcaldia (Electo)                         2025: UCS (actual elección);UCS;
MOVIMIENTO AL SOCIALISMO ;Carlos Eduardo Del Castillo Del Carpio;Santa Cruz de la Sierra;27/12/1988;36;Abogado;2020-2025 Ministro de Gobierno;2025: MAS-IPSP Presidencia (actual elección) ;MAS-IPSP;
APB-SÚMATE ;Manfred Armando Antonio Reyes Villa Bacigalupi;La Paz ;19/4/1955;70;Militar;1994-1996 Alcalde Mun. Cochabamba                                 1996-2000 Alcalde Mun. Cochabamba                             2000 Alcalde Mun. Cochabamba            2006-2008 Prefecto de Cochabamba                                      2021-2025 Alcalde Mun. Cochabamba;2da candidatura: Presidencia                  4 candidaturas: Alcaldia                                1993: NFR Alcaldia (Electo)                    1995: NFR Alcaldia (Electo)                 1999: NFR Alcaldia (Electo)               2002: NFR Presidencia (No electo)                   2005: AUN Prefecto (Electo)                                       2021: SUMATE Alcaldia (Electo)                         2025: APB SUMATE (actual elección);ADN, MBL, NFR;
PARTIDO DEMÓCRATA CRISTIANO ;Rodrigo Paz Pereira;Santiago de Compostela (España);22/9/1967;57;Economista Rel. Int. ;2002-2003 Diputado unimominal        2005-2010 Diputado Uninominal     2010-2015 Concejal Municipal      2015-2020 Alcalde Municipal     2020-2025 Senaturia ;1era. candidatura: Presidencia         1 candidatura: Senaturia                   2 candidatura: Diputación                    1 candidaturas: Alcaldia                     1 candidatura: Concejalia                                               2002: MIR-NM-FRI Diputación (Electo)                                         2005: PODEMOS Diputación (Electo)                                       2010: UNIR Concejalia (Electo)                 2015: UNIR Alcaldia Municipal (Electo)                                         2020: CC Senaturia (Electo)                      2025: PDC (actual elección);MIR-NM-FRI, PODEMOS, UNIR, CC;Católico
MOVIMIENTO DE RENOVACIÓN NACIONAL ;Mónica Eva Copa Murga;El Alto La Paz ;3/1/1987;38;Trabajadora Social;;;;Metodista
NUEVA GENERACIÓN PATRIÓTICA ;Jaime Guillermo Dunn de Avila;Camiri Santa Cruz;21/5/1968;58;Analista financiero;;;;
